('哪一颗牙最后一次长出来？', '答案: 假牙')
('金木水火土谁的腿长？', '答案：火腿肠')
('小强为什么能用一只手让车子停下来？', '答案：打的')
('人为什么要走去床上睡觉呢?', '答案：床不会自己走过来')
('一只蜜蜂停在日历上打一成语?', '答案: 风和日丽')
('什么东西可以尽情吃，不用花钱买?', '答案: 空气')
('什么是“以牙还牙”?', '答案: 镶牙')
('永远也写不好的字是什么字?', '答案: 坏字')
('什么东西从屁股里排出后还可以当食物?', '答案: 鸡蛋')
('谁最喜欢咬文嚼字?', '答案: 蛀虫书')
('什么食品东、南、西、北都出产?', '答案: 瓜')
('中国人都会写哪种外国字?', '答案: 阿拉伯数字')
(' 两个女人与一千只鸭子所说的话有何相似性呢？', '答案：无稽（鸡）之谈')
('为什么大家都喜欢坐着看电影？', '答案：因为站着看脚会酸')
('什么时候有人敲门 你绝不会说请进？', '答案：上厕所的时候')
('在古时侯 什么人没当爸爸就先当公公了？', '答案：太监')
('9月28是孔子诞辰 那么10月28日是什么日子？', '答案： 孔子满月')
('30-50哪个数字比熊的大便厉害!', '答案:40\u3000\u3000原因：事实胜于雄(熊)辩')
('如果明天就是世界末日 为什么今天就有人想自杀？', '[答案]去天堂占位置')
('要考试了,不能看什么书?', '答案:百科全书(百科全输).')
('台风天气要带多少钱才能出门?', '答案:四千万.因为台风天气没&quot;事千万&quot;不要出门')
('1 世界上什么人一下子变老?', '答案:新娘.因为今天是新娘,明天是老婆.')
('什么时候太阳会从西边出来?', '【 答案：发誓的时候 】')
('有什么办法能使眉毛长在眼的下面?', '.\u3000\u3000【 答案：倒立 】')
('什么牛不会吃草?', '【 答案：蜗牛 】')
('哪种动物最没有方向感?', '麋鹿(迷路)')
('风的孩子叫什么?', '水起(风生水起)')
('天的孩子叫什么?', '我材(天生我材)')
('鸡的妈妈是谁?', '纸直升机(纸生鸡)')
('什么牌子的汽车最讨厌别人摸?', '宝马BMW(别摸我)')
('小白加小白等于什么?', '小白兔(TWO)')
('怎样使麻雀安静下来?', '压它一下。原因：鸦雀无声(压雀无声)')
('1234567890哪个数字最勤劳，哪个数字最懒惰?', '1懒惰;2勤劳。(1不做2不休)')
('麒麟飞到北极会变成什么?', '冰淇淋。原因：冰淇淋(冰麒麟)')
('布和纸怕什么?', '布怕一万，纸怕万一。(不怕一万，只怕万一)')
('橡皮、老虎皮、狮子皮哪一个最不好?', '橡皮。(橡皮差)')
('茉莉花、太阳花、玫瑰花哪一朵花最没力?', '茉莉花(好一朵没力[美丽]的茉莉花)')
('A和C谁比较高呢?', 'C比较高(因为ABCDA比C低)')
('一个学生住在学校里，为什么上学还经常迟到？', '答案：因为她坐不下去。')
